S.N.,Owner,Vehicle_Number,GPS_Vendor,Engine,Chasis,Branch,imei,ip,sim_number,port,type,makeYear,MakeCompany,MakeModel,Darta Miti,nepali_darta_miti,english_darta_miti
24,Worldlink Communications Ltd.,XENON YODHA SC 4X2/Bagmati Pra-01-026 Cha 1694,telematics,4SPCR10HYX624390,MAT464602MSR11095,Region 1,865011033500332,865011033500332,9801815078,10200,four wheeler,,Tata Motors,XENON - YODHA,2078-Ashoj-05,2078-06-05,2021-09-21
25,Worldlink Communications Ltd.,XENON YODHA SC 4X2/Bagmati Pra-01-026 Cha 1695,telematics,4SPCR10HYX624345,MAT464602MSR11099,Region 6,865011033498511,865011033498511,9801823762,10200,four wheeler,,Tata Motors,XENON - YODHA,2078-Ashoj-05,2078-06-05,2021-09-21
26,Worldlink Communications Ltd.,STATE3-01-022 CHA 5128,telematics,TBK4E93795,MA1RU4TBKK3E97641,Region 5,865011030756788,865011030756788,9802320226,10200,four wheeler,,Mahendra,Bolero,2076-Ashoj-05,2076-06-05,2019-09-22
27,Worldlink Communications Ltd.,STATE3-01-022CHA 5123,,TBK4E90743,MA1RU4TBKK3E97775,Besisahar,,,,,four wheeler,,Mahendra,Bolero,2076-Ashoj-05,2076-06-05,2019-09-22
28,Worldlink Communications Ltd.,STATE3-01-022CHA 5603,,TBK4G80380,MA1RU4TBKK3G88168,Walling,,,,,,,Mahendra,Bolero,2076-Shrawan-29,2076-04-29,2019-08-14
29,Worldlink Communications Ltd.,XENON_YODHA_CC_4X4/Bagmati Pra-01-026 Cha 2607,telematics,4SPCR10GYX620639,MAT546174MSR09205,Region 5,865011033500530,865011033500530,9801823696,10200,four wheeler,,Tata,TATA XENON 4X4 CREW,2078-Ashoj-10,2078-06-10,2021-09-26
30,Worldlink Communications Ltd.,STATE3-01-022CHA 2511,telematics,A1Y030,M3GTFR54JKB000377,Kusunti,865011030753942,865011030753942,9820105326,10200,four wheeler,,ISUZU,Single Cab,2076-Shrawan-27,2076-04-27,2019-08-12
31,Worldlink Communications Ltd.,Pradesh 3-01-023 cha 8061,telematics,TBL4C 75910,MA1RU4TBKL3E 91592,Banepa,865011033122236,865011033122236,9802260365,10200,four wheeler,,Mahendra,Bolero,2077-Ashoj-11,2077-06-11,2020-09-27
32,Worldlink Communications Ltd.,SUZUKI Pick-up STATE3-01-022CHA921,,A1P921,M3GTGS864JB901260,Head office,,,,,,,ISUZU,Isuzu V Cross,2076-Ashar-24,2076-03-24,2019-07-09
33,Worldlink Communications Ltd.,Bagmati Pra-01-026 Cha 3862,telematics,TBM4F85162,MA1RU4TBKM3G92602,Port Project Region 6,865011033500118,865011033500118,9801823701,10200,four wheeler,,Mahendra,BOLERO CPR DC 4WD PS,2078-Bhadra-27,2078-05-27,2021-09-12
34,Worldlink Communications Ltd.,Bagmati Pra-01-026 Cha 3863,telematics,TBM4F85157,MA1RU4TBKM3G92601,Region 7,865011033499253,865011033499253,9801823764,10200,four wheeler,,Mahendra,BOLERO CPR DC 4WD PS,2078-Bhadra-27,2078-05-27,2021-09-12
35,Worldlink Communications Ltd.,Bhe 1 cha 2786,telematics,GHE4D67019,MA1RU4GHKE3D3186,Nepalgunj,864893031006631,864893031006631,9801919705,10200,four wheeler,,Mahendra,Bolero Camper,2071-Jestha-21,2071-02-21,2014-06-04
36,Worldlink Communications Ltd.,BA16CHA 4046,telematics,275IDI06FTYS67072,MAT445554GZF24946,Region-7 Nbu-3,864893031005823,864893031005823,9820105547,10200,four wheeler,,Tata Motors,Tata Ace,2073-Kartik-07,2073-07-07,2016-10-23
37,Worldlink Communications Ltd.,BA16CHA 4212,,275IDI06FTYS68308,MAT445554GZF24835,Chitwan,,,,,,,Tata Motors,Tata Pickup,2073-Ashoj-16,2073-06-16,2016-10-02
38,Worldlink Communications Ltd.,BA4CHA 1612,track-amala,29337,251108,Head office,353701096167644,353701096167644,,10202,four wheeler,,Hyundai,Santro,2059-Bhadra-19,2059-05-19,2002-09-04
39,Worldlink Communications Ltd.,BA16CHA 4049,telematics,275IDI06FTYS68306,MAT445554GZF24839,Mahendrapool,864893031008777,864893031008777,9801919584,10200,four wheeler,,Tata Motors,Tata Pickup,2073-Ashoj-13,2073-06-13,2016-09-29
40,Worldlink Communications Ltd.,BA16CHA 4045,telematics,275IDI06FTYS66485,MAT445554GZF24176,dharan,864893031008223,864893031008223,9803611582,10200,four wheeler,,Tata Motors,Tata Pickup,2073-Ashoj-13,2073-06-13,2016-09-29
41,Worldlink Communications Ltd.,BA16CHA 4211,telematics,275IDI06FTYS67840,MAT445554GZF24965,Rastrabankchowk,864893031006482,864893031006482,9801919579,10200,four wheeler,,Tata Motors,Tata Pickup,2073-Ashoj-16,2073-06-16,2016-10-02
42,Worldlink Communications Ltd.,BA16CHA 4043,telematics,275IDI06FTYS70267,MAT445554GZF25546,Damak,864893031008017,864893031008017,9813910095,10200,four wheeler,,Tata Motors,Tata Pickup,2073-Ashoj-13,2073-06-13,2016-09-29
43,Worldlink Communications Ltd.,BA16CHA 4213,telematics,275IDI06FTYS68671,MAT445554GZF24825,Birgunj,864893031007621,864893031007621,9801919595,10200,four wheeler,,Tata Motors,Tata Pickup,2073-Ashoj-16,2073-06-16,2016-10-02
44,Worldlink Communications Ltd.,BA10CHA 28,track-amala,GGC4F11384,MA1RU4GGAC3F41468,Enterprise office-Kunpondol,865011030756788,865011030756788,9802320226,10200,four wheeler,,Mahendra,Bolero Camper,2069-Bhadra-20,2069-05-20,2012-09-05
45,Worldlink Communications Ltd.,Ba 16 Cha 4047,telematics,275IDI06FTYS70272,MAT445554GZG26590,Dang,864893031005526,864893031005526,9820105545,10200,four wheeler,,Tata Motors,Tata Pickup,2073-Kartik-07,2073-07-07,2016-10-23
46,Worldlink Communications Ltd.,BA 16 CHA 4041,,275IDI06FTYS70119,MAT445554GZF25790,Surkhet,,,,,,,Tata Motors,Tata Pickup,2073-Ashoj-19,2073-06-19,2016-10-05
47,Worldlink Communications Ltd.,BA16CHA 4044,telematics,275IDI06FTYS67782,MAT445554GZF24192,Biratnagar,864893031008728,864893031008728,9801906996,10200,four wheeler,,Tata Motors,Tata Pickup,2073-Ashoj-13,2073-06-13,2016-09-29
48,Worldlink Communications Ltd.,BA15CHA 9537,,F8BIN4912523,MA3EVB11S01702093,Gatthaghar,,,,,four wheeler,,Maruti Suzuki,Omni Van,2073-Ashoj-18,2073-06-18,2016-10-04
49,Worldlink Communications Ltd.,BA16CHA 1650,,4913237,1702922,Balaju,,,,,four wheeler,,Maruti Suzuki,Omni Van,2073-Kartik-18,2073-07-18,2016-11-03
50,Worldlink Communications Ltd.,BA13CHA 6252,track-amala,GHF4G56896,MA1RU2GHKF3G32781,Balaju,358899055412095,358899055412095,,10202,four wheeler,,Mahendra,Bolero Camper,2072-Bhadra-24,2072-05-24,2015-09-10
51,Worldlink Communications Ltd.,BA13CHA 6607,track-amala,GHF4H62932,MA1RU4GHKF3H34029,kapan,358899055367786,358899055367786,,10202,four wheeler,,Mahendra,Bolero Camper,2072-Ashoj-06,2072-06-06,2015-09-23
52,Worldlink Communications Ltd.,BA13CHA 6253,track-amala,GHF4G55765,MA1RU2GHKF32856,battisputali,358899055366218,358899055366218,,10202,four wheeler,,Mahendra,Bolero Camper,2072-Bhadra-24,2072-05-24,2015-09-10
53,Worldlink Communications Ltd.,BA7CHA 2357,,6778897,JDAM300S001029902,Head office,,,,,,,Daihatsu,Sirion,2066-Ashr-30,2066-03-30,2009-07-14
54,Worldlink Communications Ltd.,BA8CHA 4160,track-amala,GGA4F34656,GGAA3F73241,pepsicola,352672100959972,352672100959972,,10202,four wheeler,,Mahendra,Bolero Camper DC 4WD P/S,2067-Bhadra-24,2067-05-24,2010-09-09
55,Worldlink Communications Ltd.,BA15CHA 6548,track-amala,F8BIN-4904851,MA3EN131130-1694774,Kaldhara,865205037306478,865205037306478,,10218,four wheeler,,Maruti Suzuki,Omni Van,2073-Shrawan-30,2073-04-30,2016-08-14
56,Worldlink Communications Ltd.,Pradesh 3-01-024 cha 3745,telematics,VFL4J14568,MA1RC2VF2L2K40499,Region 6,863844051656392,863844051656392,9802264295,10200,four wheeler,,Mahendra,Scorpio,2077-Kartik-28,2077-07-28,2020-11-13
57,Worldlink Communications Ltd.,Pradesh 3-01-024 cha 3744,telematics,VFL4H14967,MA1RC2VF2L2H32669,Region 2,865011033156028,865011033156028,9802263865,10200,four wheeler,,Mahendra,Scorpio,2077-Kartik-28,2077-07-28,2020-11-13
58,Worldlink Communications Ltd.,BA.5CHA 3320,track-amala,374483HUZE35768,497SP28HUZ87062,kusunti,867844000748387,867844000748387,,11603,four wheeler,,Tata Motors,Tata Di,2062-Ashoj-20,2062-06-20,2005-10-06
59,Worldlink Communications Ltd.,BA.10CHA 3819,telematics,NXY717740,HDCRGAW,kusunti,865011030753546,865011030753546,9820105324,10200,four wheeler,,Tata Motors,Winger,2069-Paush-26,2069-09-26,2013-01-10
60,Worldlink Communications Ltd.,STATE3-01-003 KA 5254,telematics,D68004293,MC1E1FJAXLP000544,kusunti,865011030756192,865011030756192,9820105780,10200,four wheeler,,Force Motors,Travllers,2076-Mansir-13,2076-08-13,2019-11-29
61,Worldlink Communications Ltd.,STATE3-01-03 KA 5253,telematics,D68004248,MC1E1FJA9LP000549,kusunti,865011030753397,865011030753397,9840600902,10200,four wheeler,,Force Motors,Travllers,2076-Mansir-13,2076-08-13,2019-11-29
62,Worldlink Communications Ltd.,BA.16CHA 5477,track-amala,GHG4H61571,MA1R02GHICG3F88859,Kirtipur,865205038011671,865205038011671,,10218,four wheeler,,Mahendra,Bolero,2073-Kartik-17,2073-07-17,2016-11-02
63,Worldlink Communications Ltd.,Trax Kargoking Pick UP/Pra 3-01-024 cha 5526,telematics,D60031241,MC1D1ACA3LP007355,Region-7,865011032946171,865011032946171,9801968275,10200,four wheeler,,Force Motors,Trax Kargo King,2077-Paush-07,2077-09-07,2020-12-22
64,Worldlink Communications Ltd.,BA.16CHA 8117,avlview,GHG4J56008,MA1RU2GHKG3J89562,Enterprise office-Baneshwor,865733029334588,865733029334588,9808376964,,Pickup-Single Cabin,2016,Mahendra,Bolero,2073-Mansir-23,2073-08-23,2016-12-08
65,Worldlink Communications Ltd.,BA.16CHA 8116,avlview,GHG4H61569,MA1RU2GHKG3J89561,Dhungedhara,865733029347531,865733029347531,9808377653,,Pickup-Single Cabin,2016,Mahendra,Bolero,2073-Mansir-23,2073-08-23,2016-12-08
66,Worldlink Communications Ltd.,BA.16CHA 8118,avlview,GHG4H61570,MA1RU2GHKG3J89563,Imadol,865733029349008,865733029349008,9808377656,,Pickup-Single Cabin,2016,Mahendra,Bolero,2073-Mansir-23,2073-08-23,2016-12-08
67,Worldlink Communications Ltd.,STATE3-01-023CHA 1544,telematics,4SPCR10KPY640628,MAT464329KSK12950,Region 5,865011030753660,865011030753660,9863029693,10200,four wheeler,,Tata Motors,TATA XENON Yodha,2076-Paush-11,2076-09-11,2019-12-27
68,Worldlink Communications Ltd.,Pradesh no:31-024 cha 5532,telematics,275IDI06NZXS81825,MAT445064LZR22714,Simara,865011032946536,865011032946536,9801968283,10200,four wheeler,,Tata Motors,Tata Ace,2077-Paush-27,2077-09-27,2021-01-11
69,Worldlink Communications Ltd.,Mahindra Scorpio Pickup DC 4WD S6/P3-01-024 Cha 6812,telematics,VFL4J1 4566,MA1RC4VF2L2K 40322,Region 7,865011033127615,865011033127615,9801968253,10200,four wheeler,,Mahendra,Scorpio,2077-Mansir-17,2077-08-17,2020-12-02
70,Worldlink Communications Ltd.,BA03-001CHA267,,1KD2378565,JTEBH9F40K133365,head office,,,,,,,Toyota,Prado,2076-Falgun-07,2076-11-07,2020-02-19
71,Worldlink Communications Ltd.,BA.9CHA 9611,telematics,2.2LDIC0R09051J09976,MAT614064CRD01461,head office,865011033496655,865011033496655,9801815358,10200,four wheeler,,Tata Motors,Tata Arya,2069-Bhadra-12,2069-05-12,2012-08-28
72,Worldlink Communications Ltd.,BA.12CHA 3346,track-amala,4733435,1538162,Dholahiti,865011030751102,865011030751102,9820105327,10200,four wheeler,,Maruti Suzuki,Omni Van,2071-Kartik-23,2071-07-23,2014-11-09
73,Worldlink Communications Ltd.,BA.12CHA 1384,track-amala,4727550,1532444,Imadol,867844000751845,867844000751845,,11603,four wheeler,,Maruti Suzuki,Omni Van,2071-Bhadra-04,2071-05-04,2014-08-20
74,Worldlink Communications Ltd.,BA.18CHA 7310,avlview,GHH4K58876,MA1RU4GHKH3K90054,Kusma,865733028548857,865733028548857,9818705184,,Pickup-Single Cabin,2017,Mahendra,BOLERO CPR DC 4WD PS,2074-Mansir-11,2074-08-11,2017-11-27
75,Worldlink Communications Ltd.,BA.18CHA 7309,avlview,GHH4K59006,MA1RU4GHKH3K90050,Region-7 Nbu-5,865733028483543,865733028483543,9863196402,,Pickup-Single Cabin,2017,Mahendra,BOLERO CPR DC 4WD PS,2074-Mansir-11,2074-08-11,2017-11-27
76,Worldlink Communications Ltd.,P3-01-023CHA 2671,telematics,TBK4L82826,MA1RU4TBKK3L95712,Damak,865011030754015,865011030754015,9863029684,10200,four wheeler,,Mahendra,BOLERO CPR DC 4WD PS,2076-Magh-13,2076-10-13,2020-01-27
77,Worldlink Communications Ltd.,P3-01-023CHA 2665,telematics,TBK4H82857,MA1RU2TBKK3H95649,kusunti,865011030752100,865011030752100,9801910298,10200,four wheeler,,Mahendra,BOLERO CPR DC 4WD PS,2076-Magh-13,2076-10-13,2020-01-27
78,Worldlink Communications Ltd.,P3-01-023CHA 3346,telematics,TBK4H85364,MA1RU2TBKK3H90464,kusunti,865011030751102,865011030751102,9820105327,10200,four wheeler,,Mahendra,Bolero Camper,2076-Paush-22,2076-09-22,2020-01-07
79,Worldlink Communications Ltd.,Ba.17Cha 795,track-amala,N4932804,S01720677, Gatthaghar,353419039310599,353419039310599,,10202,four wheeler,,Maruti Suzuki,Omni Van,2073-Magh-17,2073-10-17,2017-01-30
80,Worldlink Communications Ltd.,Ba.17Cha 785,avlview,N4928384,S01716283,Baluwatar,358899055364973,358899055364973,,10202,four wheeler,,Maruti Suzuki,Omni Van,2073-Magh-17,2073-10-17,2017-01-30
81,Worldlink Communications Ltd.,Ba.16Cha 6928,track-amala,N4915603,S01704978,Enterprise office-Kunpondol,867844000752579,867844000752579,,11603,four wheeler,,Maruti,Omni,2073-Mansir-14,2073-08-14,2016-11-29
82,Worldlink Communications Ltd.,Ba.17Cha 801,avlview,N4933188,S01720697,Kapan,865733029357282,865733029357282,9808376960,,Van,2017,Maruti Suzuki,Omni Van,2073-Magh-17,2073-10-17,2017-01-30
83,Worldlink Communications Ltd.,Ba.17Cha 798,track-amala,N4931935,S01720684,Sitapaila,867844000752504,867844000752504,,11603,four wheeler,,Maruti,Omni,2073-Magh-17,2073-10-17,2017-01-30
84,Worldlink Communications Ltd.,Ba.17Cha 796,avlview,N4931534,S01720649,Bansbari,865733029357548,865733029357548,9808376957,,Van,2017,Maruti Suzuki,Omni Van,2073-Magh-17,2073-10-17,2017-01-30
85,Worldlink Communications Ltd.,Ba.14Cha 1785,track-amala,GHF4M61984,KG3A88162,Kalimati,358899055364973,358899055364973,,10202,four wheeler,,Mahendra,Bolero Camper,2072-Magh-22,2072-10-22,2016-02-05
86,Worldlink Communications Ltd.,Ba.14Cha 1643,track-amala,GHF4M66107,KG3A88641,Dholahiti,358899055406295,358899055406295,,10202,four wheeler,,Mahendra,Bolero Camper,2072-Magh-18,2072-10-18,2016-02-01
87,Worldlink Communications Ltd.,Ba.14Cha 1780,track-amala,GHF4M64252,KG3A88411,Baluwatar,358899055392040,358899055392040,,10202,four wheeler,,Mahendra,Bolero Camper,2072-Magh-22,2072-10-22,2016-02-05
88,Worldlink Communications Ltd.,P3-01-023CHA 4135,track-amala,275IDI06NPYSE8398,MAT445064KZR52145,Kusunti,865205036548864,865205036548864,,10218,four wheeler,,Tata Motors,Tata Ace,2076-Falgun-04,2076-11-04,2020-02-16
89,Worldlink Communications Ltd.,P3-01-023CHA 4136,track-amala,275IDI06NPYSE8412,MAT445064KZR51930,Manbhawan,352672100961374,352672100961374,,10202,four wheeler,,Tata Motors,Tata Ace,2076-Falgun-04,2076-11-04,2020-02-16
90,Worldlink Communications Ltd.,BA 12 CHA 6460,,CLJ254677,WVGZZZ5N7EW090458,Lahan,,,,,,,Volkswagen,Tiguan,,,
91,Worldlink Communications Ltd.,Ba 5 Cha 5932,,F8BIN 3619607,MA3EVB11500771811,Kusunti,,,,,,,Maruti Suzuki,Omni Van,2063-Ashar-28,2063-03-28,2006-07-12
92,Worldlink Communications Ltd.,Mahindra BOLERO CPR DC 4WD PS/P 3-01-024-CHA 9514,telematics,TBM4A77010,MA1RU4TBKM3A82387,Surkhet,865011031939813,865011031939813,9740100377,10200,four wheeler,,Ma,Bolero Camper DC 4WD P/S,2077-Falgun-12,2077-11-12,2021-02-24
93,Worldlink Communications Ltd.,Mahindra BOLERO CPR DC 2WD PS/P 3-01-024 CHA 9512,telematics,TBM4A77014,MA1RU2TBKM3A80959,Lahan,865011031939557,865011031939557,9740100168,10200,four wheeler,,Mahendra,Bolero CPR DC 2WD PS,2077-Falgun-12,2077-11-12,2021-02-24
94,Worldlink Communications Ltd.,Mahindra PICKUP DC 2WD S6/ P3-01-024 Cha 9515,telematics,VFM4A12174,MA1RC2VF2M2A14187,Region 1,865011033155970,865011033155970,9740102065,10200,four wheeler,,Mahendra,Scorpio DC 2WD S6,2077-Falgun-12,2077-11-12,2021-02-24
95,Worldlink Communications Ltd.,Mahindra PICKUP DC 2WD S6/ P3-01-024 Cha 9518,telematics,VFM4A12197,MA1RC2VF2M2A14288,Region 3,865011033149858,865011033149858,9820105385,10200,four wheeler,,Mahendra,Scorpio DC 2WD S6,2077-Falgun-12,2077-11-12,2021-02-24
96,Worldlink Communications Ltd.,Mahindra PICKUP DC 2WD S6/P3-01-024 Cha 9516,telematics,VFL4M19981,MA1RC2VF2M2A14076,Region 4,865011031935753,865011031935753,9820105325,10200,four wheeler,,Mahendra,Scorpio DC 2WD S6,2077-Falgun-12,2077-11-12,2021-02-24
97,Worldlink Communications Ltd.,Mahindra PICKUP DC 2WD S6/P3-01-024 Cha 9517,telematics,VFL4M19887,MA1RC2VF2M2A14086,Region 5,865011033157604,865011033157604,9740100284,10200,four wheeler,,Mahendra,Scorpio DC 2WD S6,2077-Falgun-12,2077-11-12,2021-02-24
98,Worldlink Communications Ltd.,Ba.14Cha 1788,track-amala,GHF4M62348,MAIRU2GHKG3A88258,Sallaghari,358899055403912,358899055403912,,10202,four wheeler,,Mahendra,Bolero,2072-Magh-22,2072-10-22,2016-02-05
99,Worldlink Communications Ltd.,Ba.14Cha 1781,track-amala,GHF4M4240,MAIRU2GHKE3A88412,Satungal,358899055418290,358899055418290,,10202,four wheeler,,Mahendra,Bolero,2072-Magh-22,2072-10-22,2016-02-05
100,Worldlink Communications Ltd.,Ba.14Cha 1782,track-amala,GHF4M64239,MAIRU2GHKG3A88413,Satungal,358899055418357,358899055418357,,10202,four wheeler,,Mahendra,Bolero,2072-Magh-22,2072-10-22,2016-02-05
101,Worldlink Communications Ltd.,Ba.14Cha 4709,avlview,F8BIN-4864514,MA3EVBIIS01657766,Balaju,865733029351087,865733029351087,9813307339,,Mini Van,2016,Maruti Suzuki,omni van,2073-Falgun-27,2073-11-27,2017-03-10
102,Worldlink Communications Ltd.,Ba.14Cha 3566,track-amala,F8BIN-4862856,MA3EVBIIS0-1655952,Pepsicola,867844000751472,867844000751472,,11603,four wheeler,,Maruti Suzuki,omni van,2072-Falgun-11,2072-11-11,2016-02-23
103,Worldlink Communications Ltd.,Ba.14Cha 4705,avlview,F8BIN-4864102,MA3EVBIIS0-1657443,Baluwatar,865733028552479,865733028552479,9823100884,,Mini Van,2016,Maruti Suzuki,omni van,2073-Falgun-27,2073-11-27,2017-03-10
104,Worldlink Communications Ltd.,Mahindra BOLERO CPR DC 4WD PS/P 3-01-025 CHA 841,telematics,TBM4A80610,MA1RU4TBKM3A82359,Dharan,865011030156138,865011030156138,9801913487,10200,four wheeler,,Mahendra,Bolero CPR DC 4WD PS,2077-Falgun-12,2077-11-12,2021-02-24
105,Worldlink Communications Ltd.,BA.19CHA 1668,avlview,GHJ4B58977,MARU4GHKJ3B91753,KARNALI PROJECT,865733029365129,865733029365129,9818705208,,Pickup-Single Cabin,2018,Mahendra,Bolero CPR DC 4WD PS,2074-Falgun-20,2074-11-20,2018-03-04
106,Worldlink Communications Ltd.,BA.19CHA 1670,avlview,GHJ4B58965,MA1RU4GHKJ3B91748,KARNALI PROJECT,864547032021508,864547032021508,9818705509,,Pickup-Double Cabin,2018,Mahendra,Bolero CPR DC 4WD PS,2074-Falgun-20,2074-11-20,2018-03-04
107,Worldlink Communications Ltd.,BA 17 CHA 4657,telematics,275IDI06CSYS32751,MAT445554HZC11549,Butwal,865011030755939,865011030755939,9801042438,10200,four wheeler,,Tata Motors,ACE Ace,2074-Baishakh-22,2074-01-22,2017-05-05
108,Worldlink Communications Ltd.,BA 17 CHA 4655,telematics,275IDI06CSYS32482,MAT445554HZC11497,Biratnagar,864893031008256,864893031008256,9803567146,10200,four wheeler,,Tata Motors,ACE Ace,2074-Baishakh-22,2074-01-22,2017-05-05
109,Worldlink Communications Ltd.,BA 17 CHA 4658,telematics,275IDI06CSYS33067,MAT445554HZC11567,Butwal,864893031009569,864893031009569,9801907388,10200,four wheeler,,Tata Motors,ACE Ace,2074-Baishakh-22,2074-01-22,2017-05-05
110,Worldlink Communications Ltd.,BA 17 CHA 4656,telematics,275IDI06CSYS32758,MAT445554HZC11530,Janakpur,864893031008520,864893031008520,9801919525,10200,four wheeler,,Tata Motors,ACE Ace,2074-Baishakh-22,2074-01-22,2017-05-05
111,Worldlink Communications Ltd.,BA 17 CHA 4653,telematics,275IDI06CSYS32755,MAT445554HZC11461,Itahari,864893031007787,864893031007787,,10200,four wheeler,,Tata Motors,ACE Ace,2074-Baishakh-22,2074-01-22,2017-05-05
