,S.N.,Owner,GPS_Vendor,Vehicle_Number,Engine,Chasis,Branch,imei,ip,sim_number,port,ime
27,28,Worldlink Communications Ltd.,,STATE3-01-022CHA 5603,TBK4G80380,MA1RU4TBKK3G88168,Walling ,nan,,,,
28,29,Worldlink Communications Ltd.,telematics,XENON_YODHA_CC_4X4/Bagmati Pra-01-026 Cha 2607,4SPCR10GYX620639,MAT546174MSR09205,Region 5 ,865011033500530.0,49.126.71.163,9801823696,10200,865011033500530
29,30,Worldlink Communications Ltd.,telematics,STATE3-01-022CHA 2511,A1Y030,M3GTFR54JKB000377,Kusunti ,865011030753942.0,49.126.197.60,9820105326,10200,865011030753942
30,31,Worldlink Communications Ltd.,telematics,Pradesh 3-01-023 cha 8061,TBL4C 75910,MA1RU4TBKL3E 91592,Banepa,865011033122236.0,36.252.58.124,9802260365,10200,865011033122236
31,32,Worldlink Communications Ltd.,, SUZUKI Pick-up STATE3-01-022CHA921,A1P921,M3GTGS864JB901260,Head office,nan,,,,
32,33,Worldlink Communications Ltd.,telematics,Bagmati Pra-01-026 Cha 3862,TBM4F85162,MA1RU4TBKM3G92602,Port Project Region 6 ,865011033500118.0,36.252.196.213,9801823701,10200,865011033500118
33,34,Worldlink Communications Ltd.,telematics,Bagmati Pra-01-026 Cha 3863,TBM4F85157,MA1RU4TBKM3G92601,Region 7,865011033499253.0,36.252.96.94,9801823764,10200,865011033499253
34,35,Worldlink Communications Ltd.,telematics,Bhe 1 cha 2786,GHE4D67019,MA1RU4GHKE3D3186,Nepalgunj,864893031006631.0,49.126.94.97,9801919705,10200,864893031006631
35,36,Worldlink Communications Ltd.,telematics,BA16CHA 4046,275IDI06FTYS67072,MAT445554GZF24946,Region-7 Nbu-3,864893031005823.0,36.252.190.24,9820105547,10200,864893031005823
36,37,Worldlink Communications Ltd.,,BA16CHA 4212,275IDI06FTYS68308,MAT445554GZF24835,Chitwan,nan,,,,
37,38,Worldlink Communications Ltd.,track-amala,BA4CHA 1612,29337,251108,Head office,353701096167644.0,49.126.171.171,,10202,353701096167644
38,39,Worldlink Communications Ltd.,telematics,BA16CHA 4049,275IDI06FTYS68306,MAT445554GZF24839,Mahendrapool,864893031008777.0,36.252.157.162,9801919584,10200,864893031008777
39,40,Worldlink Communications Ltd.,telematics,BA16CHA 4045,275IDI06FTYS66485,MAT445554GZF24176,dharan,864893031008223.0,49.126.140.170,9803611582,10200,864893031008223
40,41,Worldlink Communications Ltd.,telematics,BA16CHA 4211,275IDI06FTYS67840,MAT445554GZF24965,Rastrabankchowk,864893031006482.0,49.126.107.97,9801919579,10200,864893031006482
41,42,Worldlink Communications Ltd.,telematics,BA16CHA 4043,275IDI06FTYS70267,MAT445554GZF25546,Damak,864893031008017.0,36.252.47.13,9813910095,10200,864893031008017
42,43,Worldlink Communications Ltd.,telematics,BA16CHA 4213,275IDI06FTYS68671,MAT445554GZF24825,Birgunj,864893031007621.0,36.252.63.38,9801919595,10200,864893031007621
43,44,Worldlink Communications Ltd.,track-amala,BA10CHA 28,GGC4F11384,MA1RU4GGAC3F41468,Enterprise office-Kunpondol,865011030756788.0,49.126.130.238,9802320226,10200,865011030756788
44,45,Worldlink Communications Ltd.,telematics,Ba 16 Cha 4047,275IDI06FTYS70272,MAT445554GZG26590,Dang,864893031005526.0,36.252.145.75,9820105545,10200,864893031005526
45,46,Worldlink Communications Ltd.,,BA 16 CHA 4041,275IDI06FTYS70119,MAT445554GZF25790,Surkhet,nan,,,,
46,47,Worldlink Communications Ltd.,telematics,BA16CHA 4044,275IDI06FTYS67782,MAT445554GZF24192,Biratnagar,864893031008728.0,36.252.187.42,9801906996,10200,864893031008728
47,48,Worldlink Communications Ltd.,,BA15CHA 9537,F8BIN4912523,MA3EVB11S01702093,Gatthaghar,358899050726002.0,36.252.137.214,,10202,358899050726002
48,49,Worldlink Communications Ltd.,,BA16CHA 1650,4913237,1702922,Balaju,865205038013396.0,36.252.217.238,,10218,865205038013396
49,50,Worldlink Communications Ltd.,track-amala,BA13CHA 6252,GHF4G56896,MA1RU2GHKF3G32781,Balaju,358899055412095.0,36.252.62.92,,10202,358899055412095
50,51,Worldlink Communications Ltd.,track-amala,BA13CHA 6607,GHF4H62932,MA1RU4GHKF3H34029,kapan,358899055367786.0,36.252.221.194,,10202,358899055367786
51,52,Worldlink Communications Ltd.,track-amala,BA13CHA 6253,GHF4G55765,MA1RU2GHKF32856,battisputali,358899055366218.0,49.126.197.65,,10202,358899055366218
52,53,Worldlink Communications Ltd.,,BA7CHA 2357,6778897,JDAM300S001029902,Head office,nan,,,,
53,54,Worldlink Communications Ltd.,track-amala,BA8CHA 4160,GGA4F34656,GGAA3F73241,pepsicola,352672100959972.0,36.252.173.106,,10202,352672100959972
54,55,Worldlink Communications Ltd.,track-amala,BA15CHA 6548,F8BIN-4904851,MA3EN131130-1694774,Kaldhara,865205037306478.0,36.252.72.41,,10218,865205037306478
55,56,Worldlink Communications Ltd.,telematics,Pradesh 3-01-024 cha 3745,VFL4J14568,MA1RC2VF2L2K40499,Region 6,863844051656392.0,49.126.187.29,9802264295,10200,863844051656392
56,57,Worldlink Communications Ltd.,telematics,Pradesh 3-01-024 cha 3744,VFL4H14967,MA1RC2VF2L2H32669,Region 2,865011033156028.0,36.252.209.125,9802263865,10200,865011033156028
57,58,Worldlink Communications Ltd.,track-amala,BA.5CHA 3320,374483HUZE35768,497SP28HUZ87062,kusunti,867844000748387.0,49.126.51.229,,11603,867844000748387
58,59,Worldlink Communications Ltd.,telematics,BA.10CHA 3819,NXY717740,HDCRGAW,kusunti,865011030753546.0,36.252.127.169,9820105324,10200,865011030753546
59,60,Worldlink Communications Ltd.,telematics,STATE3-01-003 KA 5254,D68004293,MC1E1FJAXLP000544,kusunti,865011030756192.0,49.126.129.94,9820105780,10200,865011030756192
60,61,Worldlink Communications Ltd.,telematics,STATE3-01-03 KA 5253,D68004248,MC1E1FJA9LP000549,kusunti,865011030753397.0,120.89.104.176,9840600902,10200,865011030753397
61,62,Worldlink Communications Ltd.,track-amala,BA.16CHA 5477,GHG4H61571,MA1R02GHICG3F88859,Kirtipur,865205038011671.0,36.252.137.77,,10218,865205038011671
62,63,Worldlink Communications Ltd.,telematics,Trax Kargoking Pick UP/Pra 3-01-024 cha 5526,D60031241,MC1D1ACA3LP007355,Region-7,865011032946171.0,49.126.127.24,9801968275,10200,865011032946171
63,64,Worldlink Communications Ltd.,,BA.16CHA 8117,GHG4J56008,MA1RU2GHKG3J89562,Enterprise office-Baneshwor,nan,,,,
64,65,Worldlink Communications Ltd.,,BA.16CHA 8116,GHG4H61569,MA1RU2GHKG3J89561,Dhungedhara,nan,,,,
65,66,Worldlink Communications Ltd.,,BA.16CHA 8118,GHG4H61570,MA1RU2GHKG3J89563,Imadol,nan,,,,
66,67,Worldlink Communications Ltd.,telematics,STATE3-01-023CHA 1544,4SPCR10KPY640628,MAT464329KSK12950,Region 5,865011030753660.0,120.89.104.70,9863029693,10200,865011030753660
67,68,Worldlink Communications Ltd.,telematics,Pradesh no:31-024 cha 5532,275IDI06NZXS81825,MAT445064LZR22714,Simara,865011032946536.0,36.252.72.5,9801968283,10200,865011032946536
68,69,Worldlink Communications Ltd.,telematics,Mahindra Scorpio Pickup DC 4WD S6/P3-01-024 Cha 6812,VFL4J1 4566,MA1RC4VF2L2K 40322,Region 7,865011033127615.0,36.252.226.89,9801968253,10200,865011033127615
69,70,Worldlink Communications Ltd.,,BA03-001CHA267,1KD2378565,JTEBH9F40K133365,head office,nan,,,,
70,71,Worldlink Communications Ltd.,telematics,BA.9CHA 9611,2.2LDIC0R09051J09976,MAT614064CRD01461,head office,865011033496655.0,36.252.156.144,9801815358,10200,865011033496655
71,72,Worldlink Communications Ltd.,track-amala,BA.12CHA 3346,4733435,1538162,Dholahiti,865011030751102.0,49.126.195.198,9820105327,10200,865011030751102
72,73,Worldlink Communications Ltd.,track-amala,BA.12CHA 1384,4727550,1532444,Imadol,867844000751845.0,49.126.113.88,,11603,867844000751845
73,74,Worldlink Communications Ltd.,,BA.18CHA 7310,GHH4K58876,MA1RU4GHKH3K90054,Kusma,nan,,,,
74,75,Worldlink Communications Ltd.,,BA.18CHA 7309,GHH4K59006,MA1RU4GHKH3K90050,Region-7 Nbu-5,nan,,,,
75,76,Worldlink Communications Ltd.,telematics,P3-01-023CHA 2671,TBK4L82826,MA1RU4TBKK3L95712,Damak,865011030754015.0,120.89.104.171,9863029684,10200,865011030754015
76,77,Worldlink Communications Ltd.,telematics,P3-01-023CHA 2665,TBK4H82857,MA1RU2TBKK3H95649,kusunti,865011030752100.0,36.252.70.1,9801910298,10200,865011030752100
77,78,Worldlink Communications Ltd.,telematics,P3-01-023CHA 3346,TBK4H85364,MA1RU2TBKK3H90464,kusunti,865011030751102.0,49.126.195.198,9820105327,10200,865011030751102
78,79,Worldlink Communications Ltd.,track-amala,Ba.17Cha 795,N4932804,S01720677, Gatthaghar,353419039310599.0,36.252.64.218,,10202,353419039310599
79,80,Worldlink Communications Ltd.,,Ba.17Cha 785,N4928384,S01716283,Baluwatar,358899055364973.0,36.252.64.249,,10202,358899055364973
80,81,Worldlink Communications Ltd.,track-amala,Ba.16Cha 6928,N4915603,S01704978,Enterprise office-Kunpondol,867844000752579.0,36.252.93.238,,11603,867844000752579
81,82,Worldlink Communications Ltd.,,Ba.17Cha 801,N4933188,S01720697,Kapan,nan,,,,
82,83,Worldlink Communications Ltd.,track-amala,Ba.17Cha 798,N4931935,S01720684,Sitapaila,867844000752504.0,36.252.68.50,,11603,867844000752504
83,84,Worldlink Communications Ltd.,,Ba.17Cha 796,N4931534,S01720649,Bansbari,nan,,,,
84,85,Worldlink Communications Ltd.,track-amala,Ba.14Cha 1785,GHF4M61984,KG3A88162,Kalimati,358899055364973.0,36.252.64.249,,10202,358899055364973
85,86,Worldlink Communications Ltd.,track-amala,Ba.14Cha 1643,GHF4M66107,KG3A88641,Dholahiti,358899055406295.0,36.252.148.117,,10202,358899055406295
86,87,Worldlink Communications Ltd.,track-amala,Ba.14Cha 1780,GHF4M64252,KG3A88411,Baluwatar,358899055392040.0,36.252.188.96,,10202,358899055392040
87,88,Worldlink Communications Ltd.,track-amala,P3-01-023CHA 4135,275IDI06NPYSE8398,MAT445064KZR52145,Kusunti ,865205036548864.0,49.126.51.64,,10218,865205036548864
88,89,Worldlink Communications Ltd.,track-amala,P3-01-023CHA 4136,275IDI06NPYSE8412,MAT445064KZR51930,Manbhawan,352672100961374.0,36.252.124.72,,10202,352672100961374
89,90,Worldlink Communications Ltd.,,BA 12 CHA 6460,CLJ254677,WVGZZZ5N7EW090458,Lahan,nan,,,,
90,91,Worldlink Communications Ltd.,,Ba 5 Cha 5932,F8BIN 3619607,MA3EVB11500771811,Kusunti,nan,,,,
91,92,Worldlink Communications Ltd.,telematics,Mahindra BOLERO CPR DC 4WD PS/P 3-01-024-CHA 9514,TBM4A77010,MA1RU4TBKM3A82387,Surkhet,865011031939813.0,120.89.104.152,9740100377,10200,865011031939813
92,93,Worldlink Communications Ltd.,telematics,Mahindra BOLERO CPR DC 2WD PS/P 3-01-024 CHA 9512,TBM4A77014,MA1RU2TBKM3A80959,Lahan,865011031939557.0,120.89.104.248,9740100168,10200,865011031939557
93,94,Worldlink Communications Ltd.,telematics,Mahindra PICKUP DC 2WD S6/ P3-01-024 Cha 9515,VFM4A12174,MA1RC2VF2M2A14187,Region 1,865011033155970.0,120.89.104.152,9740102065,10200,865011033155970
94,95,Worldlink Communications Ltd.,telematics,Mahindra PICKUP DC 2WD S6/ P3-01-024 Cha 9518,VFM4A12197,MA1RC2VF2M2A14288,Region 3,865011033149858.0,49.126.40.184,9820105385,10200,865011033149858
95,96,Worldlink Communications Ltd.,telematics,Mahindra PICKUP DC 2WD S6/P3-01-024 Cha 9516,VFL4M19981,MA1RC2VF2M2A14076,Region 4,865011031935753.0,49.126.100.7,9820105325,10200,865011031935753
96,97,Worldlink Communications Ltd.,telematics,Mahindra PICKUP DC 2WD S6/P3-01-024 Cha 9517,VFL4M19887,MA1RC2VF2M2A14086,Region 5,865011033157604.0,120.89.104.10,9740100284,10200,865011033157604
97,98,Worldlink Communications Ltd.,track-amala,Ba.14Cha 1788,GHF4M62348,MAIRU2GHKG3A88258,Sallaghari,358899055403912.0,36.252.129.54,,10202,358899055403912
98,99,Worldlink Communications Ltd.,track-amala,Ba.14Cha 1781,GHF4M4240,MAIRU2GHKE3A88412,Satungal,358899055418290.0,49.126.92.200,,10202,358899055418290
99,100,Worldlink Communications Ltd.,track-amala,Ba.14Cha 1782,GHF4M64239,MAIRU2GHKG3A88413,Satungal,358899055418357.0,36.252.70.9,,10202,358899055418357
100,101,Worldlink Communications Ltd.,,Ba.14Cha 4709,F8BIN-4864514,MA3EVBIIS01657766,Balaju,nan,,,,
101,102,Worldlink Communications Ltd.,track-amala,Ba.14Cha 3566,F8BIN-4862856,MA3EVBIIS0-1655952,Pepsicola,867844000751472.0,36.252.200.144,,11603,867844000751472
102,103,Worldlink Communications Ltd.,,Ba.14Cha 4705,F8BIN-4864102,MA3EVBIIS0-1657443,Baluwatar,nan,,,,
103,104,Worldlink Communications Ltd.,telematics,Mahindra BOLERO CPR DC 4WD PS/P 3-01-025 CHA 841,TBM4A80610,MA1RU4TBKM3A82359,Dharan,865011030156138.0,49.126.91.62,9801913487,10200,865011030156138
104,105,Worldlink Communications Ltd.,,BA.19CHA 1668,GHJ4B58977,MARU4GHKJ3B91753,KARNALI PROJECT,nan,,,,
105,106,Worldlink Communications Ltd.,,BA.19CHA 1670,GHJ4B58965,MA1RU4GHKJ3B91748,KARNALI PROJECT,nan,,,,
106,107,Worldlink Communications Ltd.,telematics,BA 17 CHA 4657,275IDI06CSYS32751,MAT445554HZC11549,Butwal,865011030755939.0,36.252.148.75,9801042438,10200,865011030755939
107,108,Worldlink Communications Ltd.,telematics,BA 17 CHA 4655,275IDI06CSYS32482,MAT445554HZC11497,Biratnagar,864893031008256.0,49.126.150.71,9803567146,10200,864893031008256
108,109,Worldlink Communications Ltd.,telematics,BA 17 CHA 4658,275IDI06CSYS33067,MAT445554HZC11567,Butwal,864893031009569.0,36.252.145.147,9801907388,10200,864893031009569
109,110,Worldlink Communications Ltd.,telematics,BA 17 CHA 4656,275IDI06CSYS32758,MAT445554HZC11530,Janakpur,864893031008520.0,36.252.118.13,9801919525,10200,864893031008520
110,111,Worldlink Communications Ltd.,telematics,BA 17 CHA 4653,275IDI06CSYS32755,MAT445554HZC11461,Itahari,864893031007787.0,36.252.230.199,,10200,864893031007787
111,112,Worldlink Communications Ltd.,telematics,BA 17 CHA 4652,275IDI06CSYS31610,MAT445554HZC11207,Birtamod,864893031007837.0,36.252.139.111,9803567153,10200,864893031007837
112,113,Worldlink Communications Ltd.,telematics,BA 17 CHA 4654,275IDI06CSYS32480,MAT445554HZC11552,Hetauda,865011030753207.0,49.126.81.245,9820105723,10200,865011030753207
113,114,Worldlink Communications Ltd.,track-amala,BA 7 CHA 8162,483D2TC4910C718126,MAT37408599P31997,Gathagar,867844000751407.0,36.252.32.157,,11603,867844000751407
114,115,Worldlink Communications Ltd.,telematics,BA 17 CHA 4989,275IDI06CSYS31083,MAT445554HZC10913,Amarsingh,865011033496614.0,36.252.42.92,9820105672,10200,865011033496614
115,116,Worldlink Communications Ltd.,telematics,BA 17 CHA 4988,275IDI06CSYS31884,MAT445554HZC11221,Dhangadi,864893031006474.0,36.252.76.2,9801919589,10200,864893031006474
116,117,Worldlink Communications Ltd.,telematics,BA 17 CHA 4990,275IDI06CSYS31613,MAT445554HZC12267,Bhairahawa,864893031009684.0,36.252.35.217,9801907387,10200,864893031009684
117,118,Worldlink Communications Ltd.,,BA11CHA 7618,2.2LDICORO9BVYJ002671,MAT617033ENB01361,head office,nan,,,,
118,119,Worldlink Communications Ltd.,track-amala,BA11CHA 8199,4708177,1580874,Boudha,865205038013347.0,49.126.78.42,,10218,865205038013347
119,120,Worldlink Communications Ltd.,track-amala,BA15CHA 431,4888496,1679831,Baluwatar,865205038013172.0,36.252.178.61,,10218,865205038013172
120,121,Worldlink Communications Ltd.,telematics,Pra-3-01-022 cha 5661,4SPCR10CPY611421,MAT464329KSRO3320,Kusunti,865011030752035.0,36.252.40.64,9801908455,10200,865011030752035
121,122,Worldlink Communications Ltd.,telematics,Ga 2 cha 265,GHE4D65457,MA1RU4GHKE3D3134,Bagar,864893031006516.0,36.252.19.92,9820118315,10200,864893031006516
122,123,Worldlink Communications Ltd.,track-amala,BA15CHA 568,GHG4B69997,MA1RU2GHKG3C91977,Kusunti,352672100959691.0,49.126.187.16,,10202,352672100959691
123,124,Worldlink Communications Ltd.,track-amala,BA14CHA 8366,F8BIN4875751,MA3EVB1150.1668752,Enterprise office-Baneshwor,867844000749823.0,36.252.97.15,,11603,867844000749823
124,125,Worldlink Communications Ltd.,track-amala,BA14CHA 8924,GHG4A62653,MA1RU2GHKG3B90427,Koteshwor,865205038011853.0,36.252.52.8,,10218,865205038011853
125,126,Worldlink Communications Ltd.,track-amala,BA13CHA 3101,GHF4C59725,MA1RV4GHKF3C25003,Boudha,867844000749302.0,36.252.208.189,,11603,867844000749302
126,127,Worldlink Communications Ltd.,track-amala,BA13CHA 2474,G4F1C22705,MA1ZC4GAKF1C32191,Kusunti ,358899058010524.0,36.252.105.166,,10202,358899058010524
127,128,Worldlink Communications Ltd.,,Bagmati pradesh  01 028 cha 1837,TZ230XS56FJ22054557,MAT635013NLK13094,Operation ,nan,,,,
