S.N.,Owner,Vehicle_Number,GPS_Vendor,Engine,Chasis,Branch ,
39,Worldlink Communications Ltd.,BA16CHA 4049,telematics,275IDI06FTYS68306,MAT445554GZF24839,Mahendrapool,
40,Worldlink Communications Ltd.,BA16CHA 4045,telematics,275IDI06FTYS66485,MAT445554GZF24176,dharan,
41,Worldlink Communications Ltd.,BA16CHA 4211,telematics,275IDI06FTYS67840,MAT445554GZF24965,Rastrabankchowk,
42,Worldlink Communications Ltd.,BA16CHA 4043,telematics,275IDI06FTYS70267,MAT445554GZF25546,Damak,
43,Worldlink Communications Ltd.,BA16CHA 4213,telematics,275IDI06FTYS68671,MAT445554GZF24825,Birgunj,
44,Worldlink Communications Ltd.,BA10CHA 28,track-amala,GGC4F11384,MA1RU4GGAC3F41468,Enterprise office-Kunpondol,
45,Worldlink Communications Ltd.,Ba 16 Cha 4047,telematics,275IDI06FTYS70272,MAT445554GZG26590,Dang,
46,Worldlink Communications Ltd.,BA 16 CHA 4041,,275IDI06FTYS70119,MAT445554GZF25790,Surkhet,
47,Worldlink Communications Ltd.,BA16CHA 4044,telematics,275IDI06FTYS67782,MAT445554GZF24192,Biratnagar,
48,Worldlink Communications Ltd.,BA15CHA 9537,,F8BIN4912523,MA3EVB11S01702093,Gatthaghar,
49,Worldlink Communications Ltd.,BA16CHA 1650,,4913237,1702922,Balaju,
50,Worldlink Communications Ltd.,BA13CHA 6252,track-amala,GHF4G56896,MA1RU2GHKF3G32781,Balaju,
51,Worldlink Communications Ltd.,BA13CHA 6607,track-amala,GHF4H62932,MA1RU4GHKF3H34029,kapan,
52,Worldlink Communications Ltd.,BA13CHA 6253,track-amala,GHF4G55765,MA1RU2GHKF32856,battisputali,
53,Worldlink Communications Ltd.,BA7CHA 2357,,6778897,JDAM300S001029902,Head office,
54,Worldlink Communications Ltd.,BA8CHA 4160,track-amala,GGA4F34656,GGAA3F73241,pepsicola,
55,Worldlink Communications Ltd.,BA15CHA 6548,track-amala,F8BIN-4904851,MA3EN131130-1694774,Kaldhara,
56,Worldlink Communications Ltd.,Pradesh 3-01-024 cha 3745,telematics,VFL4J14568,MA1RC2VF2L2K40499,Region 6,
57,Worldlink Communications Ltd.,Pradesh 3-01-024 cha 3744,telematics,VFL4H14967,MA1RC2VF2L2H32669,Region 2,
58,Worldlink Communications Ltd.,BA.5CHA 3320,track-amala,374483HUZE35768,497SP28HUZ87062,kusunti,
59,Worldlink Communications Ltd.,BA.10CHA 3819,telematics,NXY717740,HDCRGAW,kusunti,
60,Worldlink Communications Ltd.,STATE3-01-003 KA 5254,telematics,D68004293,MC1E1FJAXLP000544,kusunti,
61,Worldlink Communications Ltd.,STATE3-01-03 KA 5253,telematics,D68004248,MC1E1FJA9LP000549,kusunti,
62,Worldlink Communications Ltd.,BA.16CHA 5477,track-amala,GHG4H61571,MA1R02GHICG3F88859,Kirtipur,
63,Worldlink Communications Ltd.,Trax Kargoking Pick UP/Pra 3-01-024 cha 5526,telematics,D60031241,MC1D1ACA3LP007355,Region-7,krishna
64,Worldlink Communications Ltd.,BA.16CHA 8117,,GHG4J56008,MA1RU2GHKG3J89562,Enterprise office-Baneshwor,
65,Worldlink Communications Ltd.,BA.16CHA 8116,,GHG4H61569,MA1RU2GHKG3J89561,Dhungedhara,
66,Worldlink Communications Ltd.,BA.16CHA 8118,,GHG4H61570,MA1RU2GHKG3J89563,Imadol,
67,Worldlink Communications Ltd.,STATE3-01-023CHA 1544,telematics,4SPCR10KPY640628,MAT464329KSK12950,Region 5,
68,Worldlink Communications Ltd.,Pradesh no:31-024 cha 5532,telematics,275IDI06NZXS81825,MAT445064LZR22714,Simara,
69,Worldlink Communications Ltd.,Mahindra Scorpio Pickup DC 4WD S6/P3-01-024 Cha 6812,telematics,VFL4J1 4566,MA1RC4VF2L2K 40322,Region 7,
70,Worldlink Communications Ltd.,BA03-001CHA267,,1KD2378565,JTEBH9F40K133365,head office,
71,Worldlink Communications Ltd.,BA.9CHA 9611,telematics,2.2LDIC0R09051J09976,MAT614064CRD01461,head office,
72,Worldlink Communications Ltd.,BA.12CHA 3346,track-amala,4733435,1538162,Dholahiti,
73,Worldlink Communications Ltd.,BA.12CHA 1384,track-amala,4727550,1532444,Imadol,
74,Worldlink Communications Ltd.,BA.18CHA 7310,,GHH4K58876,MA1RU4GHKH3K90054,Kusma,
75,Worldlink Communications Ltd.,BA.18CHA 7309,,GHH4K59006,MA1RU4GHKH3K90050,Region-7 Nbu-5,
76,Worldlink Communications Ltd.,P3-01-023CHA 2671,telematics,TBK4L82826,MA1RU4TBKK3L95712,Damak,
77,Worldlink Communications Ltd.,P3-01-023CHA 2665,telematics,TBK4H82857,MA1RU2TBKK3H95649,kusunti,
78,Worldlink Communications Ltd.,P3-01-023CHA 3346,telematics,TBK4H85364,MA1RU2TBKK3H90464,kusunti,
79,Worldlink Communications Ltd.,Ba.17Cha 795,track-amala,N4932804,S01720677, Gatthaghar,
80,Worldlink Communications Ltd.,Ba.17Cha 785,,N4928384,S01716283,Baluwatar,
81,Worldlink Communications Ltd.,Ba.16Cha 6928,track-amala,N4915603,S01704978,Enterprise office-Kunpondol,
82,Worldlink Communications Ltd.,Ba.17Cha 801,,N4933188,S01720697,Kapan,
83,Worldlink Communications Ltd.,Ba.17Cha 798,track-amala,N4931935,S01720684,Sitapaila,
84,Worldlink Communications Ltd.,Ba.17Cha 796,,N4931534,S01720649,Bansbari,
85,Worldlink Communications Ltd.,Ba.14Cha 1785,track-amala,GHF4M61984,KG3A88162,Kalimati,
86,Worldlink Communications Ltd.,Ba.14Cha 1643,track-amala,GHF4M66107,KG3A88641,Dholahiti,
87,Worldlink Communications Ltd.,Ba.14Cha 1780,track-amala,GHF4M64252,KG3A88411,Baluwatar,
88,Worldlink Communications Ltd.,P3-01-023CHA 4135,track-amala,275IDI06NPYSE8398,MAT445064KZR52145,Kusunti ,
89,Worldlink Communications Ltd.,P3-01-023CHA 4136,track-amala,275IDI06NPYSE8412,MAT445064KZR51930,Manbhawan,
90,Worldlink Communications Ltd.,BA 12 CHA 6460,,CLJ254677,WVGZZZ5N7EW090458,Lahan,
91,Worldlink Communications Ltd.,Ba 5 Cha 5932,,F8BIN 3619607,MA3EVB11500771811,Kusunti,
92,Worldlink Communications Ltd.,Mahindra BOLERO CPR DC 4WD PS/P 3-01-024-CHA 9514,telematics,TBM4A77010,MA1RU4TBKM3A82387,Surkhet,
93,Worldlink Communications Ltd.,Mahindra BOLERO CPR DC 2WD PS/P 3-01-024 CHA 9512,telematics,TBM4A77014,MA1RU2TBKM3A80959,Lahan,
94,Worldlink Communications Ltd.,Mahindra PICKUP DC 2WD S6/ P3-01-024 Cha 9515,telematics,VFM4A12174,MA1RC2VF2M2A14187,Region 1,
95,Worldlink Communications Ltd.,Mahindra PICKUP DC 2WD S6/ P3-01-024 Cha 9518,telematics,VFM4A12197,MA1RC2VF2M2A14288,Region 3,
96,Worldlink Communications Ltd.,Mahindra PICKUP DC 2WD S6/P3-01-024 Cha 9516,telematics,VFL4M19981,MA1RC2VF2M2A14076,Region 4,
97,Worldlink Communications Ltd.,Mahindra PICKUP DC 2WD S6/P3-01-024 Cha 9517,telematics,VFL4M19887,MA1RC2VF2M2A14086,Region 5,
98,Worldlink Communications Ltd.,Ba.14Cha 1788,track-amala,GHF4M62348,MAIRU2GHKG3A88258,Sallaghari,
99,Worldlink Communications Ltd.,Ba.14Cha 1781,track-amala,GHF4M4240,MAIRU2GHKE3A88412,Satungal,
100,Worldlink Communications Ltd.,Ba.14Cha 1782,track-amala,GHF4M64239,MAIRU2GHKG3A88413,Satungal,
101,Worldlink Communications Ltd.,Ba.14Cha 4709,,F8BIN-4864514,MA3EVBIIS01657766,Balaju,
102,Worldlink Communications Ltd.,Ba.14Cha 3566,track-amala,F8BIN-4862856,MA3EVBIIS0-1655952,Pepsicola,
103,Worldlink Communications Ltd.,Ba.14Cha 4705,,F8BIN-4864102,MA3EVBIIS0-1657443,Baluwatar,
104,Worldlink Communications Ltd.,Mahindra BOLERO CPR DC 4WD PS/P 3-01-025 CHA 841,telematics,TBM4A80610,MA1RU4TBKM3A82359,Dharan,
105,Worldlink Communications Ltd.,BA.19CHA 1668,,GHJ4B58977,MARU4GHKJ3B91753,KARNALI PROJECT,
106,Worldlink Communications Ltd.,BA.19CHA 1670,,GHJ4B58965,MA1RU4GHKJ3B91748,KARNALI PROJECT,
107,Worldlink Communications Ltd.,BA 17 CHA 4657,telematics,275IDI06CSYS32751,MAT445554HZC11549,Butwal,
108,Worldlink Communications Ltd.,BA 17 CHA 4655,telematics,275IDI06CSYS32482,MAT445554HZC11497,Biratnagar,
109,Worldlink Communications Ltd.,BA 17 CHA 4658,telematics,275IDI06CSYS33067,MAT445554HZC11567,Butwal,
110,Worldlink Communications Ltd.,BA 17 CHA 4656,telematics,275IDI06CSYS32758,MAT445554HZC11530,Janakpur,
111,Worldlink Communications Ltd.,BA 17 CHA 4653,telematics,275IDI06CSYS32755,MAT445554HZC11461,Itahari,
112,Worldlink Communications Ltd.,BA 17 CHA 4652,telematics,275IDI06CSYS31610,MAT445554HZC11207,Birtamod,
113,Worldlink Communications Ltd.,BA 17 CHA 4654,telematics,275IDI06CSYS32480,MAT445554HZC11552,Hetauda,
114,Worldlink Communications Ltd.,BA 7 CHA 8162,track-amala,483D2TC4910C718126,MAT37408599P31997,Gathagar,
115,Worldlink Communications Ltd.,BA 17 CHA 4989,telematics,275IDI06CSYS31083,MAT445554HZC10913,Amarsingh,
116,Worldlink Communications Ltd.,BA 17 CHA 4988,telematics,275IDI06CSYS31884,MAT445554HZC11221,Dhangadi,
117,Worldlink Communications Ltd.,BA 17 CHA 4990,telematics,275IDI06CSYS31613,MAT445554HZC12267,Bhairahawa,
118,Worldlink Communications Ltd.,BA11CHA 7618,,2.2LDICORO9BVYJ002671,MAT617033ENB01361,head office,
119,Worldlink Communications Ltd.,BA11CHA 8199,track-amala,4708177,1580874,Boudha,
120,Worldlink Communications Ltd.,BA15CHA 431,track-amala,4888496,1679831,Baluwatar,
121,Worldlink Communications Ltd.,Pra-3-01-022 cha 5661,telematics,4SPCR10CPY611421,MAT464329KSRO3320,Kusunti,
122,Worldlink Communications Ltd.,Ga 2 cha 265,telematics,GHE4D65457,MA1RU4GHKE3D3134,Bagar,
123,Worldlink Communications Ltd.,BA15CHA 568,track-amala,GHG4B69997,MA1RU2GHKG3C91977,Kusunti,
124,Worldlink Communications Ltd.,BA14CHA 8366,track-amala,F8BIN4875751,MA3EVB1150.1668752,Enterprise office-Baneshwor,
125,Worldlink Communications Ltd.,BA14CHA 8924,track-amala,GHG4A62653,MA1RU2GHKG3B90427,Koteshwor,
126,Worldlink Communications Ltd.,BA13CHA 3101,track-amala,GHF4C59725,MA1RV4GHKF3C25003,Boudha,
127,Worldlink Communications Ltd.,BA13CHA 2474,track-amala,G4F1C22705,MA1ZC4GAKF1C32191,Kusunti ,
128,Worldlink Communications Ltd.,Bagmati pradesh  01 028 cha 1837,,TZ230XS56FJ22054557,MAT635013NLK13094,Operation ,
