S.N.,Owner,Vehicle_Number,GPS_Vendor,Engine,Chasis,Branch,imei,ip,sim_number,port,MakeCompany,MakeModel,type,makeYear
11,Worldlink Communications Ltd.,BA11CHA 9316,track-amala,4704235,1511398,BANESHWOR,865205038013016,865205038013016,,10218,Maruti Suzuki,Maruti Suzuki,four wheeler,
12,Worldlink Communications Ltd.,BA12CHA 803,track-amala,4724858,1529955,Imadol,864717002711517,864717002711517,,10202,Maruti Suzuki,Maruti Suzuki,four wheeler,
13,Worldlink Communications Ltd.,BA12CHA 800,track-amala,4723670,1529952,BAUDHA,353419039313429,353419039313429,,10202,Maruti Suzuki,Maruti Suzuki,four wheeler,
14,Worldlink Communications Ltd.,BA13CHA 5156,track-amala,4813344,1610570,New Baneshwor,867844000748726,867844000748726,,11603,Maruti Suzuki,Maruti Suzuki,four wheeler,
15,Worldlink Communications Ltd.,BA13CHA 5374,track-amala,4805771,1604812,Dholahiti,867844000751266,867844000751266,,11603,Maruti Suzuki,Maruti Suzuki,four wheeler,
16,Worldlink Communications Ltd.,BA13CHA 5376,track-amala,4807079,1605045,SALLAGHARI,865205036549185,865205036549185,,10218,Maruti Suzuki,Maruti Suzuki,four wheeler,
17,Worldlink Communications Ltd.,BA15CHA 6815,avlview,GHG4F61829,MA1RU2GHKG3F96484,Sitapaila,865733029366044,865733029366044,9813307409,,Mahindra,Mahindra,Pickup-Double Cabin,2016
18,Worldlink Communications Ltd.,BA15CHA 6817,avlview,GHGHF61828,MA1RU2GHKG3F96485,Bansbari,865733029354438,865733029354438,9813307421,,Mahindra,Mahindra,Pickup-Double Cabin,2016
19,Worldlink Communications Ltd.,Bolero CPR DC 4WD Ps(Damauli Branch) BA.STATE01-026CHA 1079,telematics,TBM4F86297,MA1RU4TBKM3F90101,Damauli,865011033498883,865011033498883,9801823753,10200,Mahendra,Mahendra,four wheeler,
20,Worldlink Communications Ltd.,Bagmati Pradesh-01-003 Ka 9121,telematics,479TC41CYX621297,MAT554001M7R14077,Kusunti,865011033498156,865011033498156,9801815254,10200,Tata Motors,Tata Motors,four wheeler,
21,Worldlink Communications Ltd.,Pradesh1-026 Cha777,,1GD8753696,JTEBR3FJ50K211405,head office,,,,,,,,
22,Worldlink Communications Ltd.,BA6CHA 8159,track-amala,275IDI05JRZ951296,445051GRZ403040,Manbhawan,352672100961366,352672100961366,,10202,Tata Motors,Tata Motors,four wheeler,
23,Worldlink Communications Ltd.,BA15CHA 6813,avlview,GHG4F61827,MA1RU2GHKG3F96486,Kirtipur,865733029357431,865733029357431,9813307422,,Mahindra,Mahindra,Pickup-Double Cabin,2016
24,Worldlink Communications Ltd.,XENON YODHA SC 4X2/Bagmati Pra-01-026 Cha 1694,telematics,4SPCR10HYX624390,MAT464602MSR11095,Region 1,865011033500332,865011033500332,9801815078,10200,Tata Motors,Tata Motors,four wheeler,
25,Worldlink Communications Ltd.,XENON YODHA SC 4X2/Bagmati Pra-01-026 Cha 1695,telematics,4SPCR10HYX624345,MAT464602MSR11099,Region 6,865011033498511,865011033498511,9801823762,10200,Tata Motors,Tata Motors,four wheeler,
26,Worldlink Communications Ltd.,STATE3-01-022 CHA 5128,telematics,TBK4E93795,MA1RU4TBKK3E97641,Region 5,865011030756788,865011030756788,9802320226,10200,Mahendra,Mahendra,four wheeler,
27,Worldlink Communications Ltd.,STATE3-01-022CHA 5123,,TBK4E90743,MA1RU4TBKK3E97775,Besisahar,,,,,Mahendra,Mahendra,four wheeler,
28,Worldlink Communications Ltd.,STATE3-01-022CHA 5603,,TBK4G80380,MA1RU4TBKK3G88168,Walling,,,,,,,,
29,Worldlink Communications Ltd.,XENON_YODHA_CC_4X4/Bagmati Pra-01-026 Cha 2607,telematics,4SPCR10GYX620639,MAT546174MSR09205,Region 5,865011033500530,865011033500530,9801823696,10200,Tata,Tata,four wheeler,
30,Worldlink Communications Ltd.,STATE3-01-022CHA 2511,telematics,A1Y030,M3GTFR54JKB000377,Kusunti,865011030753942,865011030753942,9820105326,10200,ISUZU,ISUZU,four wheeler,
31,Worldlink Communications Ltd.,Pradesh 3-01-023 cha 8061,telematics,TBL4C 75910,MA1RU4TBKL3E 91592,Banepa,865011033122236,865011033122236,9802260365,10200,Mahendra,Mahendra,four wheeler,
32,Worldlink Communications Ltd.,SUZUKI Pick-up STATE3-01-022CHA921,,A1P921,M3GTGS864JB901260,Head office,,,,,,,,
33,Worldlink Communications Ltd.,Bagmati Pra-01-026 Cha 3862,telematics,TBM4F85162,MA1RU4TBKM3G92602,Port Project Region 6,865011033500118,865011033500118,9801823701,10200,Mahendra,Mahendra,four wheeler,
34,Worldlink Communications Ltd.,Bagmati Pra-01-026 Cha 3863,telematics,TBM4F85157,MA1RU4TBKM3G92601,Region 7,865011033499253,865011033499253,9801823764,10200,Mahendra,Mahendra,four wheeler,
35,Worldlink Communications Ltd.,Bhe 1 cha 2786,telematics,GHE4D67019,MA1RU4GHKE3D3186,Nepalgunj,864893031006631,864893031006631,9801919705,10200,Mahendra,Mahendra,four wheeler,
36,Worldlink Communications Ltd.,BA16CHA 4046,telematics,275IDI06FTYS67072,MAT445554GZF24946,Region-7 Nbu-3,864893031005823,864893031005823,9820105547,10200,Tata Motors,Tata Motors,four wheeler,
37,Worldlink Communications Ltd.,BA16CHA 4212,,275IDI06FTYS68308,MAT445554GZF24835,Chitwan,,,,,,,,
38,Worldlink Communications Ltd.,BA4CHA 1612,track-amala,29337,251108,Head office,353701096167644,353701096167644,,10202,Hyundai,Hyundai,four wheeler,
39,Worldlink Communications Ltd.,BA16CHA 4049,telematics,275IDI06FTYS68306,MAT445554GZF24839,Mahendrapool,864893031008777,864893031008777,9801919584,10200,Tata Motors,Tata Motors,four wheeler,
40,Worldlink Communications Ltd.,BA16CHA 4045,telematics,275IDI06FTYS66485,MAT445554GZF24176,dharan,864893031008223,864893031008223,9803611582,10200,Tata Motors,Tata Motors,four wheeler,
41,Worldlink Communications Ltd.,BA16CHA 4211,telematics,275IDI06FTYS67840,MAT445554GZF24965,Rastrabankchowk,864893031006482,864893031006482,9801919579,10200,Tata Motors,Tata Motors,four wheeler,
42,Worldlink Communications Ltd.,BA16CHA 4043,telematics,275IDI06FTYS70267,MAT445554GZF25546,Damak,864893031008017,864893031008017,9813910095,10200,Tata Motors,Tata Motors,four wheeler,
43,Worldlink Communications Ltd.,BA16CHA 4213,telematics,275IDI06FTYS68671,MAT445554GZF24825,Birgunj,864893031007621,864893031007621,9801919595,10200,Tata Motors,Tata Motors,four wheeler,
44,Worldlink Communications Ltd.,BA10CHA 28,track-amala,GGC4F11384,MA1RU4GGAC3F41468,Enterprise office-Kunpondol,865011030756788,865011030756788,9802320226,10200,Mahendra,Mahendra,four wheeler,
45,Worldlink Communications Ltd.,Ba 16 Cha 4047,telematics,275IDI06FTYS70272,MAT445554GZG26590,Dang,864893031005526,864893031005526,9820105545,10200,Tata Motors,Tata Motors,four wheeler,
46,Worldlink Communications Ltd.,BA 16 CHA 4041,,275IDI06FTYS70119,MAT445554GZF25790,Surkhet,,,,,,,,
47,Worldlink Communications Ltd.,BA16CHA 4044,telematics,275IDI06FTYS67782,MAT445554GZF24192,Biratnagar,864893031008728,864893031008728,9801906996,10200,Tata Motors,Tata Motors,four wheeler,
48,Worldlink Communications Ltd.,BA15CHA 9537,,F8BIN4912523,MA3EVB11S01702093,Gatthaghar,,,,,Maruti Suzuki,Maruti Suzuki,four wheeler,
49,Worldlink Communications Ltd.,BA16CHA 1650,,4913237,1702922,Balaju,,,,,Maruti Suzuki,Maruti Suzuki,four wheeler,
50,Worldlink Communications Ltd.,BA13CHA 6252,track-amala,GHF4G56896,MA1RU2GHKF3G32781,Balaju,358899055412095,358899055412095,,10202,Mahendra,Mahendra,four wheeler,
51,Worldlink Communications Ltd.,BA13CHA 6607,track-amala,GHF4H62932,MA1RU4GHKF3H34029,kapan,358899055367786,358899055367786,,10202,Mahendra,Mahendra,four wheeler,
52,Worldlink Communications Ltd.,BA13CHA 6253,track-amala,GHF4G55765,MA1RU2GHKF32856,battisputali,358899055366218,358899055366218,,10202,Mahendra,Mahendra,four wheeler,
53,Worldlink Communications Ltd.,BA7CHA 2357,,6778897,JDAM300S001029902,Head office,,,,,,,,
54,Worldlink Communications Ltd.,BA8CHA 4160,track-amala,GGA4F34656,GGAA3F73241,pepsicola,352672100959972,352672100959972,,10202,Mahendra,Mahendra,four wheeler,
55,Worldlink Communications Ltd.,BA15CHA 6548,track-amala,F8BIN-4904851,MA3EN131130-1694774,Kaldhara,865205037306478,865205037306478,,10218,Maruti Suzuki,Maruti Suzuki,four wheeler,
56,Worldlink Communications Ltd.,Pradesh 3-01-024 cha 3745,telematics,VFL4J14568,MA1RC2VF2L2K40499,Region 6,863844051656392,863844051656392,9802264295,10200,Mahendra,Mahendra,four wheeler,
57,Worldlink Communications Ltd.,Pradesh 3-01-024 cha 3744,telematics,VFL4H14967,MA1RC2VF2L2H32669,Region 2,865011033156028,865011033156028,9802263865,10200,Mahendra,Mahendra,four wheeler,
58,Worldlink Communications Ltd.,BA.5CHA 3320,track-amala,374483HUZE35768,497SP28HUZ87062,kusunti,867844000748387,867844000748387,,11603,Tata Motors,Tata Motors,four wheeler,
59,Worldlink Communications Ltd.,BA.10CHA 3819,telematics,NXY717740,HDCRGAW,kusunti,865011030753546,865011030753546,9820105324,10200,Tata Motors,Tata Motors,four wheeler,
60,Worldlink Communications Ltd.,STATE3-01-003 KA 5254,telematics,D68004293,MC1E1FJAXLP000544,kusunti,865011030756192,865011030756192,9820105780,10200,Force Motors,Force Motors,four wheeler,
61,Worldlink Communications Ltd.,STATE3-01-03 KA 5253,telematics,D68004248,MC1E1FJA9LP000549,kusunti,865011030753397,865011030753397,9840600902,10200,Force Motors,Force Motors,four wheeler,
62,Worldlink Communications Ltd.,BA.16CHA 5477,track-amala,GHG4H61571,MA1R02GHICG3F88859,Kirtipur,865205038011671,865205038011671,,10218,Mahendra,Mahendra,four wheeler,
63,Worldlink Communications Ltd.,Trax Kargoking Pick UP/Pra 3-01-024 cha 5526,telematics,D60031241,MC1D1ACA3LP007355,Region-7,865011032946171,865011032946171,9801968275,10200,Force Motors,Force Motors,four wheeler,
64,Worldlink Communications Ltd.,BA.16CHA 8117,avlview,GHG4J56008,MA1RU2GHKG3J89562,Enterprise office-Baneshwor,865733029334588,865733029334588,9808376964,,Mahindra,Mahindra,Pickup-Single Cabin,2016
65,Worldlink Communications Ltd.,BA.16CHA 8116,avlview,GHG4H61569,MA1RU2GHKG3J89561,Dhungedhara,865733029347531,865733029347531,9808377653,,Mahindra,Mahindra,Pickup-Single Cabin,2016
66,Worldlink Communications Ltd.,BA.16CHA 8118,avlview,GHG4H61570,MA1RU2GHKG3J89563,Imadol,865733029349008,865733029349008,9808377656,,Mahindra,Mahindra,Pickup-Single Cabin,2016
67,Worldlink Communications Ltd.,STATE3-01-023CHA 1544,telematics,4SPCR10KPY640628,MAT464329KSK12950,Region 5,865011030753660,865011030753660,9863029693,10200,Tata Motors,Tata Motors,four wheeler,
68,Worldlink Communications Ltd.,Pradesh no:31-024 cha 5532,telematics,275IDI06NZXS81825,MAT445064LZR22714,Simara,865011032946536,865011032946536,9801968283,10200,Tata Motors,Tata Motors,four wheeler,
69,Worldlink Communications Ltd.,Mahindra Scorpio Pickup DC 4WD S6/P3-01-024 Cha 6812,telematics,VFL4J1 4566,MA1RC4VF2L2K 40322,Region 7,865011033127615,865011033127615,9801968253,10200,Mahendra,Mahendra,four wheeler,
70,Worldlink Communications Ltd.,BA03-001CHA267,,1KD2378565,JTEBH9F40K133365,head office,,,,,,,,
71,Worldlink Communications Ltd.,BA.9CHA 9611,telematics,2.2LDIC0R09051J09976,MAT614064CRD01461,head office,865011033496655,865011033496655,9801815358,10200,Tata Motors,Tata Motors,four wheeler,
72,Worldlink Communications Ltd.,BA.12CHA 3346,track-amala,4733435,1538162,Dholahiti,865011030751102,865011030751102,9820105327,10200,Maruti Suzuki,Maruti Suzuki,four wheeler,
73,Worldlink Communications Ltd.,BA.12CHA 1384,track-amala,4727550,1532444,Imadol,867844000751845,867844000751845,,11603,Maruti Suzuki,Maruti Suzuki,four wheeler,
74,Worldlink Communications Ltd.,BA.18CHA 7310,avlview,GHH4K58876,MA1RU4GHKH3K90054,Kusma,865733028548857,865733028548857,9818705184,,Mahindra,Mahindra,Pickup-Single Cabin,2017
75,Worldlink Communications Ltd.,BA.18CHA 7309,avlview,GHH4K59006,MA1RU4GHKH3K90050,Region-7 Nbu-5,865733028483543,865733028483543,9863196402,,Mahindra,Mahindra,Pickup-Single Cabin,2017
76,Worldlink Communications Ltd.,P3-01-023CHA 2671,telematics,TBK4L82826,MA1RU4TBKK3L95712,Damak,865011030754015,865011030754015,9863029684,10200,Mahendra,Mahendra,four wheeler,
77,Worldlink Communications Ltd.,P3-01-023CHA 2665,telematics,TBK4H82857,MA1RU2TBKK3H95649,kusunti,865011030752100,865011030752100,9801910298,10200,Mahendra,Mahendra,four wheeler,
78,Worldlink Communications Ltd.,P3-01-023CHA 3346,telematics,TBK4H85364,MA1RU2TBKK3H90464,kusunti,865011030751102,865011030751102,9820105327,10200,Mahendra,Mahendra,four wheeler,
79,Worldlink Communications Ltd.,Ba.17Cha 795,track-amala,N4932804,S01720677, Gatthaghar,353419039310599,353419039310599,,10202,Maruti Suzuki,Maruti Suzuki,four wheeler,
80,Worldlink Communications Ltd.,Ba.17Cha 785,avlview,N4928384,S01716283,Baluwatar,358899055364973,358899055364973,,10202,Maruti Suzuki,Maruti Suzuki,four wheeler,
81,Worldlink Communications Ltd.,Ba.16Cha 6928,track-amala,N4915603,S01704978,Enterprise office-Kunpondol,867844000752579,867844000752579,,11603,Maruti,Maruti,four wheeler,
82,Worldlink Communications Ltd.,Ba.17Cha 801,avlview,N4933188,S01720697,Kapan,865733029357282,865733029357282,9808376960,,Maruti Suzuki,Maruti Suzuki,Van,2017
83,Worldlink Communications Ltd.,Ba.17Cha 798,track-amala,N4931935,S01720684,Sitapaila,867844000752504,867844000752504,,11603,Maruti,Maruti,four wheeler,
84,Worldlink Communications Ltd.,Ba.17Cha 796,avlview,N4931534,S01720649,Bansbari,865733029357548,865733029357548,9808376957,,Maruti Suzuki,Maruti Suzuki,Van,2017
85,Worldlink Communications Ltd.,Ba.14Cha 1785,track-amala,GHF4M61984,KG3A88162,Kalimati,358899055364973,358899055364973,,10202,Mahendra,Mahendra,four wheeler,
86,Worldlink Communications Ltd.,Ba.14Cha 1643,track-amala,GHF4M66107,KG3A88641,Dholahiti,358899055406295,358899055406295,,10202,Mahendra,Mahendra,four wheeler,
87,Worldlink Communications Ltd.,Ba.14Cha 1780,track-amala,GHF4M64252,KG3A88411,Baluwatar,358899055392040,358899055392040,,10202,Mahendra,Mahendra,four wheeler,
88,Worldlink Communications Ltd.,P3-01-023CHA 4135,track-amala,275IDI06NPYSE8398,MAT445064KZR52145,Kusunti,865205036548864,865205036548864,,10218,Tata Motors,Tata Motors,four wheeler,
89,Worldlink Communications Ltd.,P3-01-023CHA 4136,track-amala,275IDI06NPYSE8412,MAT445064KZR51930,Manbhawan,352672100961374,352672100961374,,10202,Tata Motors,Tata Motors,four wheeler,
90,Worldlink Communications Ltd.,BA 12 CHA 6460,,CLJ254677,WVGZZZ5N7EW090458,Lahan,,,,,,,,
91,Worldlink Communications Ltd.,Ba 5 Cha 5932,,F8BIN 3619607,MA3EVB11500771811,Kusunti,,,,,,,,
92,Worldlink Communications Ltd.,Mahindra BOLERO CPR DC 4WD PS/P 3-01-024-CHA 9514,telematics,TBM4A77010,MA1RU4TBKM3A82387,Surkhet,865011031939813,865011031939813,9740100377,10200,Ma,Ma,four wheeler,
93,Worldlink Communications Ltd.,Mahindra BOLERO CPR DC 2WD PS/P 3-01-024 CHA 9512,telematics,TBM4A77014,MA1RU2TBKM3A80959,Lahan,865011031939557,865011031939557,9740100168,10200,Mahendra,Mahendra,four wheeler,
94,Worldlink Communications Ltd.,Mahindra PICKUP DC 2WD S6/ P3-01-024 Cha 9515,telematics,VFM4A12174,MA1RC2VF2M2A14187,Region 1,865011033155970,865011033155970,9740102065,10200,Mahendra,Mahendra,four wheeler,
95,Worldlink Communications Ltd.,Mahindra PICKUP DC 2WD S6/ P3-01-024 Cha 9518,telematics,VFM4A12197,MA1RC2VF2M2A14288,Region 3,865011033149858,865011033149858,9820105385,10200,Mahendra,Mahendra,four wheeler,
96,Worldlink Communications Ltd.,Mahindra PICKUP DC 2WD S6/P3-01-024 Cha 9516,telematics,VFL4M19981,MA1RC2VF2M2A14076,Region 4,865011031935753,865011031935753,9820105325,10200,Mahendra,Mahendra,four wheeler,
97,Worldlink Communications Ltd.,Mahindra PICKUP DC 2WD S6/P3-01-024 Cha 9517,telematics,VFL4M19887,MA1RC2VF2M2A14086,Region 5,865011033157604,865011033157604,9740100284,10200,Mahendra,Mahendra,four wheeler,
98,Worldlink Communications Ltd.,Ba.14Cha 1788,track-amala,GHF4M62348,MAIRU2GHKG3A88258,Sallaghari,358899055403912,358899055403912,,10202,Mahendra,Mahendra,four wheeler,
99,Worldlink Communications Ltd.,Ba.14Cha 1781,track-amala,GHF4M4240,MAIRU2GHKE3A88412,Satungal,358899055418290,358899055418290,,10202,Mahendra,Mahendra,four wheeler,
100,Worldlink Communications Ltd.,Ba.14Cha 1782,track-amala,GHF4M64239,MAIRU2GHKG3A88413,Satungal,358899055418357,358899055418357,,10202,Mahendra,Mahendra,four wheeler,
101,Worldlink Communications Ltd.,Ba.14Cha 4709,avlview,F8BIN-4864514,MA3EVBIIS01657766,Balaju,865733029351087,865733029351087,9813307339,,Maruti Suzuki,Maruti Suzuki,Mini Van,2016
102,Worldlink Communications Ltd.,Ba.14Cha 3566,track-amala,F8BIN-4862856,MA3EVBIIS0-1655952,Pepsicola,867844000751472,867844000751472,,11603,Maruti Suzuki,Maruti Suzuki,four wheeler,
103,Worldlink Communications Ltd.,Ba.14Cha 4705,avlview,F8BIN-4864102,MA3EVBIIS0-1657443,Baluwatar,865733028552479,865733028552479,9823100884,,Maruti Suzuki,Maruti Suzuki,Mini Van,2016
104,Worldlink Communications Ltd.,Mahindra BOLERO CPR DC 4WD PS/P 3-01-025 CHA 841,telematics,TBM4A80610,MA1RU4TBKM3A82359,Dharan,865011030156138,865011030156138,9801913487,10200,Mahendra,Mahendra,four wheeler,
105,Worldlink Communications Ltd.,BA.19CHA 1668,avlview,GHJ4B58977,MARU4GHKJ3B91753,KARNALI PROJECT,865733029365129,865733029365129,9818705208,,Mahindra,Mahindra,Pickup-Single Cabin,2018
106,Worldlink Communications Ltd.,BA.19CHA 1670,avlview,GHJ4B58965,MA1RU4GHKJ3B91748,KARNALI PROJECT,864547032021508,864547032021508,9818705509,,Mahindra,Mahindra,Pickup-Double Cabin,2018
107,Worldlink Communications Ltd.,BA 17 CHA 4657,telematics,275IDI06CSYS32751,MAT445554HZC11549,Butwal,865011030755939,865011030755939,9801042438,10200,Tata Motors,Tata Motors,four wheeler,
108,Worldlink Communications Ltd.,BA 17 CHA 4655,telematics,275IDI06CSYS32482,MAT445554HZC11497,Biratnagar,864893031008256,864893031008256,9803567146,10200,Tata Motors,Tata Motors,four wheeler,
109,Worldlink Communications Ltd.,BA 17 CHA 4658,telematics,275IDI06CSYS33067,MAT445554HZC11567,Butwal,864893031009569,864893031009569,9801907388,10200,Tata Motors,Tata Motors,four wheeler,
110,Worldlink Communications Ltd.,BA 17 CHA 4656,telematics,275IDI06CSYS32758,MAT445554HZC11530,Janakpur,864893031008520,864893031008520,9801919525,10200,Tata Motors,Tata Motors,four wheeler,
111,Worldlink Communications Ltd.,BA 17 CHA 4653,telematics,275IDI06CSYS32755,MAT445554HZC11461,Itahari,864893031007787,864893031007787,,10200,Tata Motors,Tata Motors,four wheeler,
112,Worldlink Communications Ltd.,BA 17 CHA 4652,telematics,275IDI06CSYS31610,MAT445554HZC11207,Birtamod,864893031007837,864893031007837,9803567153,10200,Tata Motors,Tata Motors,four wheeler,
113,Worldlink Communications Ltd.,BA 17 CHA 4654,telematics,275IDI06CSYS32480,MAT445554HZC11552,Hetauda,865011030753207,865011030753207,9820105723,10200,Tata Motors,Tata Motors,four wheeler,
114,Worldlink Communications Ltd.,BA 7 CHA 8162,track-amala,483D2TC4910C718126,MAT37408599P31997,Gathagar,867844000751407,867844000751407,,11603,Tata Motors,Tata Motors,four wheeler,
115,Worldlink Communications Ltd.,BA 17 CHA 4989,telematics,275IDI06CSYS31083,MAT445554HZC10913,Amarsingh,865011033496614,865011033496614,9820105672,10200,Tata Motors,Tata Motors,four wheeler,
116,Worldlink Communications Ltd.,BA 17 CHA 4988,telematics,275IDI06CSYS31884,MAT445554HZC11221,Dhangadi,864893031006474,864893031006474,9801919589,10200,Tata Motors,Tata Motors,four wheeler,
117,Worldlink Communications Ltd.,BA 17 CHA 4990,telematics,275IDI06CSYS31613,MAT445554HZC12267,Bhairahawa,864893031009684,864893031009684,9801907387,10200,Tata Motors,Tata Motors,four wheeler,
118,Worldlink Communications Ltd.,BA11CHA 7618,avlview,2.2LDICORO9BVYJ002671,MAT617033ENB01361,head office,865733029349040,865733029349040,9818705180,,Tata,Tata,SUV Car,2015
119,Worldlink Communications Ltd.,BA11CHA 8199,track-amala,4708177,1580874,Boudha,865205038013347,865205038013347,,10218,Maruti Suzuki,Maruti Suzuki,four wheeler,
120,Worldlink Communications Ltd.,BA15CHA 431,track-amala,4888496,1679831,Baluwatar,865205038013172,865205038013172,,10218,Maruti Suzuki,Maruti Suzuki,four wheeler,
121,Worldlink Communications Ltd.,Pra-3-01-022 cha 5661,telematics,4SPCR10CPY611421,MAT464329KSRO3320,Kusunti,865011030752035,865011030752035,9801908455,10200,Tata Motors,Tata Motors,four wheeler,
122,Worldlink Communications Ltd.,Ga 2 cha 265,telematics,GHE4D65457,MA1RU4GHKE3D3134,Bagar,864893031006516,864893031006516,9820118315,10200,Mahendra,Mahendra,four wheeler,
123,Worldlink Communications Ltd.,BA15CHA 568,track-amala,GHG4B69997,MA1RU2GHKG3C91977,Kusunti,352672100959691,352672100959691,,10202,Mahendra,Mahendra,four wheeler,
124,Worldlink Communications Ltd.,BA14CHA 8366,track-amala,F8BIN4875751,MA3EVB1150.1668752,Enterprise office-Baneshwor,867844000749823,867844000749823,,11603,Maruti Suzuki,Maruti Suzuki,four wheeler,
125,Worldlink Communications Ltd.,BA14CHA 8924,track-amala,GHG4A62653,MA1RU2GHKG3B90427,Koteshwor,865205038011853,865205038011853,,10218,Mahendra,Mahendra,four wheeler,
126,Worldlink Communications Ltd.,BA13CHA 3101,track-amala,GHF4C59725,MA1RV4GHKF3C25003,Boudha,867844000749302,867844000749302,,11603,Mahendra,Mahendra,four wheeler,
127,Worldlink Communications Ltd.,BA13CHA 2474,track-amala,G4F1C22705,MA1ZC4GAKF1C32191,Kusunti,358899058010524,358899058010524,,10202,Mahendra,Mahendra,four wheeler,
128,Worldlink Communications Ltd.,Bagmati pradesh  01 028 cha 1837,,TZ230XS56FJ22054557,MAT635013NLK13094,Operation,,,,,,,,
